"participant","timestamp","OS","frameRate","ttotal","condition","rotation","used","StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","consent","age","sex","bodylength_cm","handedness","device","cursorcontrol","needvisioncorrection","wearvisioncorrection","usedhand","reappearingcursor","comments"
"221500","2021-01-17_00h07.45.903","MacIntel",60,654.815755,1,30,TRUE,"2021-01-17 05:02:21","2021-01-17 05:22:01","IP Address",100,1179,TRUE,"2021-01-17 05:22:01","I agree to participate in the study",20,"Female",160,"Right","Laptop","Trackpad","No",NA,"Right","Yes",NA
"221524","2021-01-18_15h57.15.696","Win32",60,946.058065,4,60,TRUE,"2021-01-18 20:50:11","2021-01-18 21:15:38","IP Address",100,1526,TRUE,"2021-01-18 21:15:38","I agree to participate in the study",20,"Female",165,"Right","Laptop","Trackpad","No",NA,"Right","No",NA
"221596","2021-01-17_18h51.15.725","MacIntel",60,698.41,4,30,TRUE,"2021-01-17 23:45:33","2021-01-18 00:24:49","IP Address",100,2356,TRUE,"2021-01-18 00:24:50","I agree to participate in the study",18,"Female",180,"Right","Laptop","Trackpad","No",NA,"Right","No",NA
"221602","2021-01-17_17h01.09.463","MacIntel",60,591.028,3,30,TRUE,"2021-01-17 21:54:14","2021-01-17 22:12:24","IP Address",100,1090,TRUE,"2021-01-17 22:12:25","I agree to participate in the study",20,"Male",167,"Right","Laptop","Mouse","No",NA,"Right","Yes",NA
"221785","2021-01-15_16h52.53.471","Win32",60,832.14828,3,60,TRUE,"2021-01-15 21:51:12","2021-01-15 22:07:54","IP Address",100,1002,TRUE,"2021-01-15 22:07:54","I agree to participate in the study",21,"Male",180,"Right","Laptop","Trackpad","No",NA,"Right","No",NA
"221860","2021-01-17_21h53.48.756","Win32",60,383.45552,2,30,TRUE,"2021-01-18 02:49:22","2021-01-18 03:01:17","IP Address",100,714,TRUE,"2021-01-18 03:01:17","I agree to participate in the study",21,"Male",183,"Right","PC","Mouse","No",NA,"Right","Not sure",NA
"221887","2021-01-17_12h09.10.204","MacIntel",60,655.32838,5,30,TRUE,"2021-01-17 17:03:19","2021-01-17 17:30:51","IP Address",100,1652,TRUE,"2021-01-17 17:30:51","I agree to participate in the study",19,"Female",160,"Right","Laptop","Trackpad","Yes","Yes","Right","Yes",NA
"221941","2021-01-17_15h45.11.200","MacIntel",60,725.854435,5,30,TRUE,"2021-01-17 20:39:40","2021-01-17 21:09:44","IP Address",100,1803,TRUE,"2021-01-17 21:09:44","I agree to participate in the study",22,"Male",163,"Right","Laptop","Trackpad","No",NA,"Right","No",NA
"222025","2021-01-19_14h11.48.670","MacIntel",60,667.100855,4,30,TRUE,"2021-01-19 19:06:11","2021-01-19 19:24:24","IP Address",100,1093,TRUE,"2021-01-19 19:24:25","I agree to participate in the study",18,"Female",152,"Right","Laptop","Trackpad","No",NA,"Right","Yes",NA
"222115","2021-01-15_20h23.13.231","Win32",60,456.038905,3,30,TRUE,"2021-01-15 16:13:07","2021-01-16 01:31:50","IP Address",100,33523,TRUE,"2021-01-16 01:31:51","I agree to participate in the study",27,"Female",167,"Right","Laptop","Mouse","No",NA,"Right","No",NA
"222175","2021-01-17_22h39.37.592","MacIntel",60,479.541,1,30,TRUE,"2021-01-18 03:34:58","2021-01-18 03:49:05","IP Address",100,847,TRUE,"2021-01-18 03:49:06","I agree to participate in the study",18,"Female",167,"Right","Laptop","Trackpad","No",NA,"Right","Yes",NA
"222232","2021-01-17_16h56.42.053","MacIntel",60,814.133,4,30,TRUE,"2021-01-17 21:52:15","2021-01-17 22:11:57","IP Address",100,1181,TRUE,"2021-01-17 22:11:57","I agree to participate in the study",18,"Male",180,"Right","Laptop","Mouse","No",NA,"Right","Not sure",NA
"222256","2021-01-18_18h49.43.723","Win32",60,560.91855,3,30,TRUE,"2021-01-18 23:41:22","2021-01-19 00:01:48","IP Address",100,1225,TRUE,"2021-01-19 00:01:48","I agree to participate in the study",19,"Male",188,"Right","PC","Mouse","No",NA,"Right","Yes",NA
"222337","2021-01-17_12h37.23.680","MacIntel",60,551.488805,0,30,TRUE,"2021-01-17 17:35:16","2021-01-17 17:57:47","IP Address",100,1350,TRUE,"2021-01-17 17:57:47","I agree to participate in the study",21,"Female",162,"Right","Laptop","Trackpad","No",NA,"Right","Not sure",NA
"222388","2021-01-14_16h57.08.861","MacIntel",60,614.44417,5,60,TRUE,"2021-01-14 21:54:01","2021-01-14 22:08:26","IP Address",100,864,TRUE,"2021-01-14 22:08:26","I agree to participate in the study",20,"Female",153,"Right","Laptop","Trackpad","Yes","Yes","Right",NA,NA
"222397","2021-01-16_16h17.04.354","Win32",60,894.34819,3,60,TRUE,"2021-01-16 21:06:02","2021-01-16 21:33:03","IP Address",100,1621,TRUE,"2021-01-16 21:33:04","I agree to participate in the study",20,"Male",182.88,"Right","Laptop","Trackpad","No",NA,"Right","Yes",NA
"222409","2021-01-19_13h55.53.128","MacIntel",60,676.278,0,60,TRUE,"2021-01-19 18:51:06","2021-01-19 19:17:10","IP Address",100,1564,TRUE,"2021-01-19 19:17:10","I agree to participate in the study",19,"Female",166,"Right","Laptop","Trackpad","No",NA,"Right","Yes",NA
